Server_IP	Test_IP
151.101.130.133	27.111.228.34
104.26.6.218	110.93.192.198
195.128.8.101	192.87.158.242
104.31.81.215	110.93.192.198
151.101.66.219	27.111.228.34
172.67.75.68	27.111.228.132
151.101.10.114	27.111.228.34
151.101.192.230	27.111.228.34
93.123.73.162	212.3.236.230
172.67.157.2	27.111.228.132
104.26.11.163	110.93.192.198
172.67.74.39	27.111.228.132
172.67.72.107	27.111.228.132
172.67.67.87	27.111.228.132
104.27.191.24	110.93.192.198
192.229.162.98	152.195.232.129
104.24.115.194	110.93.192.198
104.17.140.107	185.1.15.41
104.17.153.222	185.1.15.41
151.101.130.167	27.111.228.34
172.67.33.204	27.111.228.132
107.154.251.11	27.111.229.74
161.69.17.94	161.69.23.234
104.20.247.116	110.93.192.198
151.101.2.165	27.111.228.34
104.18.31.49	185.1.15.41
104.31.76.66	110.93.192.198
104.26.12.173	110.93.192.198
212.224.113.222	212.224.104.5
172.67.212.92	27.111.228.132
151.101.193.211	27.111.228.34
104.17.254.46	185.1.15.41
151.101.0.239	27.111.228.34
104.27.207.88	110.93.192.198
104.16.106.26	185.1.15.41
185.165.123.35	62.115.162.243
104.26.7.70	110.93.192.198
172.67.10.186	27.111.228.132
104.26.7.35	110.93.192.198
198.49.23.177	72.52.43.164
152.199.16.86	152.195.144.196
35.190.27.84	172.253.51.135
172.67.71.23	27.111.228.132
23.227.38.32	185.1.15.41
104.26.4.60	110.93.192.198
172.67.199.241	27.111.228.132
104.26.3.124	110.93.192.198
151.101.64.84	27.111.228.34
104.16.229.25	185.1.15.41
148.153.50.205	139.159.51.34
172.67.74.129	27.111.228.132
172.67.19.123	27.111.228.132
104.17.112.181	185.1.15.41
151.101.193.209	27.111.228.34
172.64.164.28	27.111.228.132
104.18.63.28	110.93.192.198
35.190.2.113	216.239.51.115
185.117.134.129	213.242.127.194
104.20.1.94	110.93.192.198
104.26.5.136	110.93.192.198
172.67.69.237	27.111.228.132
35.227.235.238	172.253.51.131
172.67.141.188	27.111.228.132
23.9.188.102	27.111.228.102
172.67.7.142	27.111.228.132
172.67.7.120	27.111.228.132
35.244.178.179	216.239.51.115
104.26.5.129	110.93.192.198
104.26.14.36	110.93.192.198
75.2.56.250	52.93.69.136
104.26.11.85	110.93.192.198
151.101.129.127	27.111.228.34
151.101.64.203	27.111.228.34
104.27.160.139	110.93.192.198
151.101.192.84	27.111.228.34
104.22.3.42	110.93.192.198
104.18.20.165	185.1.15.41
104.16.215.98	185.1.15.41
104.31.75.229	110.93.192.198
172.67.213.222	27.111.228.132
104.17.14.38	110.93.192.198
185.147.178.23	5.56.18.214
104.19.142.57	185.1.15.41
104.31.85.88	110.93.192.198
152.195.39.175	152.195.144.196
104.20.29.46	110.93.192.198
151.101.66.87	27.111.228.34
104.16.137.38	185.1.15.41
151.101.65.181	27.111.228.34
151.101.193.105	27.111.228.34
104.27.132.22	110.93.192.198
104.28.11.69	110.93.192.198
172.67.69.96	27.111.228.132
185.165.123.49	62.115.162.243
23.42.67.70	23.56.141.131
104.20.37.240	110.93.192.198
151.101.0.223	27.111.228.34
104.18.58.167	110.93.192.198
104.28.15.39	110.93.192.198
104.18.40.110	110.93.192.198
104.26.9.29	110.93.192.198
151.101.0.155	27.111.228.34
45.79.150.110	173.255.239.5
104.16.85.27	185.1.15.41
104.26.5.225	110.93.192.198
172.67.129.50	27.111.228.132
151.101.192.194	27.111.228.34
104.20.150.16	110.93.192.198
104.16.44.7	110.93.192.198
104.26.13.111	110.93.192.198
104.19.183.44	185.1.15.41
151.101.66.168	27.111.228.34
104.18.58.78	110.93.192.198
23.185.0.4	27.111.228.34
104.26.6.13	110.93.192.198
172.64.206.12	27.111.228.132
104.24.121.68	110.93.192.198
104.18.6.92	110.93.192.198
31.216.148.10	149.6.66.234
103.194.169.99	185.1.95.42
151.101.2.29	27.111.228.34
104.20.192.70	110.93.192.198
104.26.11.248	110.93.192.198
35.186.243.87	172.253.51.133
104.26.2.230	110.93.192.198
151.101.20.239	80.81.195.54
104.18.44.221	110.93.192.198
78.27.198.50	185.1.62.13
204.74.99.103	195.229.29.158
104.26.4.153	110.93.192.198
104.17.12.38	110.93.192.198
115.186.131.202	172.16.36.133
104.17.127.50	185.1.15.41
104.20.90.37	110.93.192.198
104.16.12.251	185.1.15.41
172.67.184.45	27.111.228.132
104.22.53.142	27.111.228.132
104.28.20.205	110.93.192.198
104.26.7.129	110.93.192.198
94.31.29.128	151.139.90.16
104.16.227.72	185.1.15.41
104.16.101.13	185.1.15.41
178.248.234.66	213.242.127.194
172.67.14.187	27.111.228.132
104.20.16.110	110.93.192.198
104.27.135.108	110.93.192.198
172.67.132.83	27.111.228.132
172.67.71.130	27.111.228.132
104.18.11.175	110.93.192.198
151.101.194.77	27.111.228.34
104.20.38.216	110.93.192.198
104.26.3.247	110.93.192.198
151.139.128.11	151.139.84.14
104.26.14.100	110.93.192.198
85.184.96.0	62.115.63.91
104.16.121.127	185.1.15.41
104.28.29.192	110.93.192.198
151.101.65.5	27.111.228.34
69.94.64.29	213.175.39.75
104.22.38.245	27.111.228.132
104.17.74.92	185.1.15.41
67.199.248.14	172.253.51.131
151.101.65.131	27.111.228.34
104.16.226.51	185.1.15.41
192.16.31.89	152.195.68.145
216.21.13.13	213.198.92.38
172.67.128.137	27.111.228.132
104.26.5.97	110.93.192.198
151.101.194.49	27.111.228.34
104.31.82.162	110.93.192.198
104.24.108.93	110.93.192.198
172.67.150.219	27.111.228.132
151.101.0.84	27.111.228.34
95.101.45.174	80.81.192.168
104.26.8.203	110.93.192.198
104.20.229.70	110.93.192.198
151.101.130.98	27.111.228.34
172.67.8.106	27.111.228.132
172.67.207.144	27.111.228.132
193.30.41.215	185.109.142.70
172.67.32.241	27.111.228.132
104.28.14.80	110.93.192.198
172.67.20.243	27.111.228.132
17.253.144.10	27.111.228.107
104.27.178.57	110.93.192.198
172.67.71.125	27.111.228.132
104.18.165.96	185.1.15.41
151.101.194.166	27.111.228.34
75.2.77.85	52.93.69.120
151.101.130.217	27.111.228.34
104.16.150.15	185.1.15.41
104.24.101.209	110.93.192.198
144.212.244.17	209.6.175.102
184.50.111.82	27.111.228.250
104.28.1.93	110.93.192.198
104.18.21.148	185.1.15.41
104.16.241.242	110.93.192.198
104.31.93.157	110.93.192.198
172.67.12.172	27.111.228.132
172.67.40.210	27.111.228.132
104.26.1.124	110.93.192.198
104.19.219.130	185.1.15.41
104.27.21.116	110.93.192.198
104.22.52.94	27.111.228.132
104.24.100.114	110.93.192.198
84.21.52.116	84.21.62.17
35.244.233.98	172.253.51.133
172.67.31.83	27.111.228.132
172.67.69.169	27.111.228.132
104.26.4.182	110.93.192.198
104.16.140.31	185.1.15.41
104.18.53.92	110.93.192.198
172.67.154.95	27.111.228.132
35.186.248.180	216.239.51.113
172.67.161.202	27.111.228.132
104.18.19.22	185.1.15.41
92.122.215.19	80.81.192.168
104.26.4.125	110.93.192.198
34.107.251.210	108.170.233.243
104.16.230.51	185.1.15.41
151.101.192.217	27.111.228.34
192.229.162.193	152.195.232.129
5.8.69.12	62.115.162.243
104.31.70.202	110.93.192.198
104.22.79.192	27.111.228.132
23.185.0.3	27.111.228.34
104.17.239.25	185.1.15.41
104.28.28.153	110.93.192.198
35.241.35.213	216.239.51.123
104.17.16.38	185.1.15.41
104.27.178.32	110.93.192.198
104.27.158.191	110.93.192.198
104.20.28.30	110.93.192.198
104.19.155.83	185.1.15.41
149.20.4.15	72.52.94.70
104.18.42.144	110.93.192.198
104.18.90.95	110.93.192.198
104.26.2.12	110.93.192.198
178.248.233.32	213.242.127.194
104.22.79.185	27.111.228.132
104.17.96.32	185.1.15.41
172.67.167.251	27.111.228.132
151.101.129.52	27.111.228.34
216.239.32.29	172.253.51.135
151.101.192.239	27.111.228.34
178.248.237.68	213.242.127.194
