domains,dest_ip
statcounter.com,104.22.53.65
google.co.cr,216.58.207.99
gogoanimes.tv,104.27.169.248
steemit.com,172.67.194.69
poe.trade,176.9.54.120
ionos.com,74.208.255.134
crichd.com,172.67.189.32
bolshoyvopros.ru,5.9.43.227
ymovies.tv,104.27.177.200
upwork.com,104.18.90.237
ableton.com,195.122.191.210
yelp.com,151.101.76.116
kshow123.net,104.27.150.41
petapixel.com,104.31.74.34
123doc.org,210.245.80.55
getdroidtips.com,104.26.6.218
akhbarolkhaleej.com,104.31.81.215
linustechtips.com,172.67.75.68
mangapanda.com,93.123.73.162
fmovie.cc,172.67.157.2
textures.com,104.26.11.163
lyricstranslate.com,159.69.73.210
stardewvalleywiki.com,172.67.74.39
rawstory.com,172.67.72.107
groovypost.com,172.67.67.87
metagmae.org,104.27.191.24
xing.com,109.233.159.254
agoda.com,103.6.182.20
payoneer.com,192.229.162.98
grabthebeast.com,104.24.115.194
dunya.com.pk,117.20.18.153
digg.com,172.67.33.204
gulfnews.com,107.154.251.11
calendly.com,104.20.247.116
usenet.nl,104.31.76.66
anime-planet.com,104.26.12.173
calculatorsoup.com,216.92.14.11
admitad.com,212.224.113.222
nnu.ng,172.67.212.92
overstock.com,173.241.154.15
trello.com,96.7.98.179
gtarcade.com,49.51.44.61
softfamous.com,104.27.207.88
svyaznoy.ru,185.165.123.35
programcreek.com,104.26.7.70
gsmarena.com,148.251.96.211
chess24.com,172.67.10.186
bitchute.com,104.26.7.35
moe.gov.my,107.154.80.207
squarespace.com,198.49.23.177
vidio.com,35.190.27.84
bloody-disgusting.com,172.67.71.23
nus.edu.sg,45.60.33.225
wikimapia.org,88.99.95.180
hrahdmon.com,104.26.4.60
metabattle.com,172.67.199.241
cryptocompare.com,104.26.3.124
jollychic.com,148.153.50.205
ezgif.com,78.46.40.208
mangakakalot.com,172.67.74.129
bitcointalk.org,172.67.19.123
foxpush.com,172.64.164.28
nextyourcontent.com,104.18.63.28
rappler.com,35.190.2.113
ilovepdf.com,104.20.1.94
wegotthiscovered.com,104.26.5.136
prokerala.com,172.67.69.237
cbs.com,35.227.235.238
1337x.to,172.67.141.188
apple.com,17.172.224.47
lenovo.com.cn,23.9.188.102
sololearn.com,172.67.7.142
tubidy.mobi,172.67.7.120
toggl.com,35.244.178.179
corporatefinanceinstitute.com,104.26.5.129
mb.com.ph,104.26.14.36
sbs.com.au,75.2.56.250
diep.io,104.26.11.85
moondoge.co.in,104.27.160.139
nationalinterest.org,104.22.3.42
easygamepromo.com,104.31.75.229
kisscartoon.is,172.67.213.222
ankiweb.net,88.198.11.78
urdupoint.com,104.17.14.38
filimo.com,185.147.178.23
slashfilm.com,104.31.85.88
patrika.com,104.20.29.46
watchmovie.io,104.27.132.22
nullschool.net,104.28.11.69
targetstudy.com,172.67.69.96
