Server_IP	Test_IP
63.35.17.160	52.93.132.182
54.88.232.23	52.93.28.176
168.235.67.115	80.91.254.36
23.66.151.206	202.84.153.26
170.66.11.10	100.126.4.133
66.39.83.155	4.7.80.10
18.140.242.149	203.83.223.21
176.34.107.91	150.222.240.42
18.235.224.167	52.93.28.142
186.2.163.228	62.115.137.65
40.117.154.240	104.44.21.206
100.24.172.113	52.93.28.226
107.23.149.50	52.93.28.134
34.197.172.53	52.93.28.74
23.15.33.200	180.87.15.6
34.247.148.60	150.222.241.240
217.20.147.1	80.81.194.112
52.17.26.74	150.222.240.54
128.199.46.144	213.248.68.169
18.205.93.1	52.93.28.172
34.196.252.163	52.93.28.86
3.224.3.59	52.93.28.84
122.226.73.53	220.188.121.78
52.219.62.118	52.95.67.176
203.104.138.138	27.111.228.165
34.243.168.176	150.222.241.86
159.65.216.232	62.115.139.151
52.22.172.91	52.93.28.84
40.117.188.126	104.44.21.206
34.225.248.108	52.93.28.72
192.243.59.20	63.218.219.46
107.22.210.87	195.22.206.61
52.48.101.234	150.222.248.94
3.223.138.242	52.93.29.18
18.204.99.116	52.93.28.146
54.179.174.200	203.83.223.17
3.210.137.66	52.93.28.238
103.6.182.20	203.208.131.110
52.77.21.98	203.83.223.21
18.185.191.84	54.239.43.249
52.58.28.12	54.239.43.251
54.156.236.159	195.22.206.63
54.235.145.223	52.93.28.192
3.228.90.217	52.93.28.146
18.210.165.84	52.93.28.206
54.93.78.41	54.239.43.251
216.92.14.11	4.7.80.10
104.197.69.102	142.250.59.93
96.7.98.179	202.84.157.37
49.51.44.61	213.248.70.187
176.34.179.218	150.222.240.54
52.1.173.203	52.93.29.28
54.145.52.10	52.93.28.72
96.17.194.27	180.87.15.202
54.159.104.224	52.93.28.140
34.201.204.59	52.93.28.118
34.246.144.185	54.239.44.144
54.237.118.121	52.93.28.168
50.16.251.90	52.93.28.238
52.214.145.233	52.93.132.182
17.172.224.47	17.172.1.135
54.84.228.58	52.93.28.214
3.6.97.109	52.95.65.129
18.141.78.84	203.83.223.31
52.149.49.234	104.44.21.160
34.197.137.120	52.93.28.140
34.194.97.138	52.93.28.72
39.107.243.96	117.49.32.45
23.215.196.122	180.87.15.202
52.204.49.208	52.93.28.230
23.215.196.29	180.87.15.202
34.252.216.20	150.222.248.94
18.208.33.217	52.93.28.184
52.210.122.219	52.93.128.232
54.159.197.5	52.93.28.248
54.175.147.155	52.93.29.34
23.14.206.224	65.49.109.190
185.178.208.185	62.115.137.65
35.156.222.67	54.239.43.251
35.154.241.130	52.95.67.212
52.29.201.78	54.239.43.249
3.93.251.178	52.93.28.158
137.221.106.104	137.221.105.17
23.8.176.60	180.87.15.6
54.88.229.253	52.93.28.110
34.205.91.16	52.93.29.44
185.26.182.104	149.6.60.218
35.193.55.160	209.85.245.37
192.243.59.13	63.218.219.46
74.6.136.151	74.6.98.137
54.208.81.96	52.93.28.234
13.126.2.13	52.95.67.176
23.10.227.202	180.87.15.202
34.206.2.235	52.93.28.238
54.251.103.25	203.83.223.192
52.77.2.236	52.93.10.71
35.163.21.228	150.222.242.177
89.248.162.151	81.95.2.138
3.7.198.108	52.95.67.180
34.225.39.192	52.93.28.108
34.246.221.211	150.222.240.42
107.180.71.144	148.72.36.53
54.144.253.202	52.93.28.136
184.26.196.231	110.93.252.172
185.178.211.4	62.115.136.195
3.222.1.38	52.93.28.204
23.215.196.52	180.87.15.202
139.59.65.231	202.56.198.30
77.88.55.77	80.81.192.251
203.119.169.238	103.52.85.25
52.200.199.187	52.93.28.76
52.6.22.199	52.93.28.118
180.153.255.122	202.101.63.165
186.2.163.219	62.115.137.65
167.68.44.27	213.144.176.232
178.248.233.147	213.242.127.194
157.188.12.160	213.144.176.232
59.110.149.245	116.251.94.18
52.1.22.171	52.93.28.98
13.82.28.61	104.44.21.234
104.108.99.163	12.117.216.194
104.121.245.199	80.231.131.82
23.8.178.136	180.87.15.6
54.222.60.218	150.222.64.20
34.226.231.254	52.93.28.234
34.241.23.183	150.222.241.72
3.234.20.58	52.93.28.168
54.221.202.219	52.93.29.26
183.84.5.58	124.251.69.250
185.88.180.104	213.248.68.169
94.102.59.60	81.95.2.138
168.62.48.183	104.44.21.208
3.227.192.229	52.93.29.6
174.129.213.48	52.93.28.184
3.230.13.201	52.93.28.208
23.8.184.143	180.87.15.6
2.17.83.60	195.2.24.185
3.215.139.146	52.93.28.234
49.51.20.16	184.105.80.10
66.39.105.214	4.7.80.10
104.69.171.36	110.93.252.172
18.233.252.26	52.93.28.112
18.209.84.169	195.22.206.63
125.209.234.134	27.111.228.165
34.200.157.100	52.93.29.16
54.173.216.145	52.93.29.66
23.15.33.232	180.87.15.6
13.235.145.10	52.95.67.176
117.50.14.128	123.125.128.234
188.240.220.201	62.115.59.226
52.204.145.2	52.93.28.206
43.242.49.141	61.148.185.162
99.80.242.242	150.222.241.72
18.158.15.150	54.239.43.251
54.194.135.101	150.222.241.230
3.215.37.208	52.93.29.72
52.57.183.117	54.239.43.251
52.30.59.57	52.93.128.246
