tcp-traceroute from 58.65.173.14 to 95.216.247.80
 9  104.120.79.103  154.232 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 76.74.234.210
 1  58.65.173.13  0.407 ms ICMP
 2  172.16.36.130  0.879 ms ICMP
 3  58.65.165.42  0.963 ms ICMP
 4  119.63.136.181  1.053 ms ICMP
 5  110.93.255.226  20.281 ms ICMP
 6  110.93.252.172  19.885 ms ICMP
 7  149.14.125.89  118.879 ms ICMP
 8  154.54.38.169  118.144 ms ICMP
 9  130.117.49.153  129.229 ms ICMP
10  154.54.60.170  135.143 ms ICMP
11  154.54.39.150  150.837 ms ICMP
12  154.54.44.162  219.827 ms ICMP
13  154.54.41.205  227.487 ms ICMP
14  38.32.157.74  263.664 ms ICMP
15  216.187.88.53  261.860 ms ICMP
16  216.187.120.132  261.752 ms ICMP
17  216.187.113.86  262.375 ms ICMP
18  76.74.234.210  260.741 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 23.9.22.6
 1  *
 2  172.16.36.134  0.836 ms ICMP
 3  58.65.165.42  0.795 ms ICMP
 4  119.63.136.181  0.677 ms ICMP
 5  110.93.252.99  21.247 ms ICMP
 6  110.93.252.146  19.716 ms ICMP
 7  27.111.228.40  99.828 ms ICMP
 8  182.79.217.72  132.194 ms ICMP
 9  *
10  23.9.22.6  132.623 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.16.208.71
 1  *
 2  172.16.36.134  1.060 ms ICMP
 3  58.65.165.42  0.867 ms ICMP
 4  203.135.5.69  0.945 ms ICMP
 5  *
 6  185.1.15.41  42.761 ms ICMP
 7  104.16.208.71  44.413 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 23.34.190.140
 1  58.65.173.13  0.506 ms ICMP
 2  172.16.36.130  0.955 ms ICMP
 3  58.65.165.42  0.880 ms ICMP
 4  203.135.5.69  1.125 ms ICMP
 5  *
 6  *
 7  *
 8  202.125.134.22  155.334 ms ICMP
 9  80.249.209.208  154.459 ms ICMP
10  23.34.190.140  157.039 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.31.86.222
 1  58.65.173.13  3.979 ms ICMP
 2  172.16.36.130  1.401 ms ICMP
 3  58.65.165.42  0.899 ms ICMP
 4  119.63.136.181  0.843 ms ICMP
 5  110.93.252.99  18.126 ms ICMP
 6  110.93.252.190  34.674 ms ICMP
 7  110.93.192.198  19.226 ms ICMP
 8  104.31.86.222  19.645 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 195.47.247.8
 1  58.65.173.13  0.328 ms ICMP
 2  172.16.36.130  0.800 ms ICMP
 3  58.65.165.42  1.249 ms ICMP
 4  203.135.5.69  1.088 ms ICMP
 5  *
 6  80.81.193.119  137.654 ms ICMP
 7  195.47.247.8  141.285 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.27.132.58
 1  *
 2  172.16.36.134  1.047 ms ICMP
 3  58.65.165.42  0.796 ms ICMP
 4  119.63.136.181  0.703 ms ICMP
 5  110.93.252.99  17.955 ms ICMP
 6  110.93.252.190  19.692 ms ICMP
 7  110.93.192.198  30.557 ms ICMP
 8  104.27.132.58  18.860 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 186.2.163.90
 1  58.65.173.13  1.846 ms ICMP
 2  172.16.36.130  0.915 ms ICMP
 3  58.65.165.42  0.935 ms ICMP
 4  203.135.5.69  1.083 ms ICMP
 5  *
 6  62.115.165.16  133.172 ms ICMP
 7  62.115.114.196  154.797 ms ICMP
