tcp-traceroute from 77.243.183.221 to 95.216.247.80
 3  4.69.151.241  99.026 ms ICMP
 4  4.16.52.155  101.311 ms ICMP
 5  45.60.101.212  99.572 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 198.8.89.138
 1  77.243.183.129  0.309 ms ICMP
 2  *
 3  *
 4  213.254.196.1  1.484 ms ICMP
 5  89.149.182.217  144.842 ms ICMP
 6  69.174.20.70  146.269 ms ICMP
 7  172.83.43.55  143.763 ms ICMP
 8  198.8.89.138  146.941 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 5.63.154.38
 1  77.243.183.129  0.288 ms ICMP
 2  37.120.128.253  0.259 ms ICMP
 3  87.245.236.148  0.380 ms ICMP
 4  87.245.232.188  33.074 ms ICMP
 5  87.245.253.90  37.538 ms ICMP
 6  *
 7  172.16.71.11  37.723 ms ICMP
 8  37.140.193.247  37.710 ms ICMP
 9  5.63.154.38  37.587 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.20.2.51
 1  77.243.183.129  0.296 ms ICMP
 2  37.120.128.249  9.382 ms ICMP
 3  37.120.128.129  9.301 ms ICMP
 4  195.42.144.143  12.106 ms ICMP
 5  104.20.2.51  9.934 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 151.101.194.137
 1  77.243.183.129  0.273 ms ICMP
 2  37.120.128.253  0.417 ms ICMP
 3  80.81.195.54  0.639 ms ICMP
 4  151.101.194.137  0.519 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 129.237.11.76
 1  77.243.183.129  0.279 ms ICMP
 2  37.120.128.253  0.247 ms ICMP
 3  80.81.192.172  0.937 ms ICMP
 4  72.52.92.13  18.895 ms ICMP
 5  184.105.213.173  96.454 ms ICMP
 6  72.52.92.54  109.914 ms ICMP
 7  184.104.193.254  111.010 ms ICMP
 8  184.105.253.142  110.407 ms ICMP
 9  164.113.193.113  111.030 ms ICMP
10  *
11  129.237.2.142  113.262 ms ICMP
12  *
13  129.237.13.20  111.034 ms ICMP
14  *
15  129.237.11.76  111.555 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.26.10.239
 1  77.243.183.129  0.308 ms ICMP
 2  37.120.128.249  9.383 ms ICMP
 3  37.120.128.129  9.163 ms ICMP
 4  195.42.144.143  10.324 ms ICMP
 5  104.26.10.239  9.997 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 129.79.123.149
 1  77.243.183.129  0.314 ms ICMP
 2  37.120.128.253  0.250 ms ICMP
 3  80.81.192.172  0.828 ms ICMP
 4  72.52.92.13  18.089 ms ICMP
 5  184.105.81.77  79.949 ms ICMP
 6  184.104.193.173  96.779 ms ICMP
 7  *
 8  *
 9  149.165.183.89  101.608 ms ICMP
10  *
11  38.101.160.251  108.969 ms ICMP
12  149.165.183.14  110.590 ms ICMP
13  134.68.3.129  115.139 ms ICMP
14  129.79.123.149  111.420 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 72.35.67.191
 1  77.243.183.129  0.252 ms ICMP
 2  213.248.84.210  0.316 ms ICMP
 3  62.115.142.4  113.511 ms ICMP
 4  62.115.122.138  113.911 ms ICMP
 5  62.115.122.159  88.306 ms ICMP
 6  62.115.119.231  117.129 ms ICMP
 7  62.115.181.149  114.095 ms ICMP
 8  148.66.237.154  118.637 ms ICMP
 9  148.66.238.53  118.717 ms ICMP
10  148.66.237.85  118.454 ms ICMP
11  72.35.66.4  114.479 ms ICMP
12  72.35.66.28  115.014 ms ICMP
13  72.35.67.191  118.293 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 76.76.21.21
 1  77.243.183.129  0.306 ms ICMP
 2  37.120.128.253  0.280 ms ICMP
 3  99.82.176.128  0.396 ms ICMP
 4  *
 5  76.76.21.21  0.323 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 91.236.51.153
 1  77.243.183.129  0.315 ms ICMP
 2  37.120.128.253  0.318 ms ICMP
 3  87.245.236.148  0.384 ms ICMP
 4  87.245.232.44  10.693 ms ICMP
 5  87.245.249.231  7.322 ms ICMP
 6  91.236.51.153  7.411 ms ICMP
tcp-traceroute from 77.243.183.221 to 104.18.12.167
 1  77.243.183.129  0.287 ms ICMP
 2  37.120.128.226  9.495 ms ICMP
 3  195.42.144.143  10.359 ms ICMP
 4  104.18.12.167  9.415 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 101.53.142.34
 1  77.243.183.129  0.325 ms ICMP
 2  195.219.50.22  0.464 ms ICMP
 3  80.231.245.6  116.291 ms ICMP
 4  80.231.153.20  113.142 ms ICMP
 5  80.231.153.50  114.972 ms ICMP
 6  80.231.154.211  116.346 ms ICMP
 7  180.87.38.125  115.166 ms ICMP
 8  180.87.38.74  114.611 ms ICMP
 9  172.31.169.85  137.682 ms ICMP
10  219.65.44.178  140.496 ms ICMP
11  180.179.197.134  142.140 ms ICMP
12  180.179.194.124  151.693 ms ICMP
13  101.53.142.34  137.676 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 172.217.19.163
 1  77.243.183.129  0.267 ms ICMP
 2  37.120.128.253  0.269 ms ICMP
 3  185.206.226.71  0.476 ms ICMP
 4  108.170.252.19  1.277 ms ICMP
 5  209.85.252.29  1.575 ms ICMP
 6  72.14.233.133  11.180 ms ICMP
 7  172.253.71.229  16.473 ms ICMP
 8  172.253.51.216  111.153 ms ICMP
 9  108.170.231.186  109.149 ms ICMP
10  108.170.247.1  109.406 ms ICMP
11  209.85.249.247  109.786 ms ICMP
12  172.217.19.163  108.982 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 76.74.234.210
 1  77.243.183.129  0.270 ms ICMP
 2  213.248.84.210  0.391 ms ICMP
 3  62.115.142.46  100.352 ms ICMP
 4  62.115.123.13  99.951 ms ICMP
 5  62.115.123.68  99.435 ms ICMP
 6  *
 7  62.115.113.87  99.884 ms ICMP
 8  62.115.175.229  105.798 ms ICMP
 9  216.187.88.53  96.966 ms ICMP
10  *
11  216.187.113.86  98.292 ms ICMP
12  76.74.234.210  96.867 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 78.40.123.183
 1  77.243.183.129  0.725 ms ICMP
 2  185.206.226.37  0.474 ms ICMP
 3  195.219.50.20  8.585 ms ICMP
 4  80.231.245.6  9.488 ms ICMP
 5  80.231.153.20  8.211 ms ICMP
 6  195.219.241.170  7.864 ms ICMP
 7  158.58.176.27  8.167 ms ICMP
 8  78.40.123.183  8.730 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 107.150.101.156
 1  77.243.183.129  0.304 ms ICMP
 2  213.248.84.210  0.452 ms ICMP
 3  62.115.142.4  146.569 ms ICMP
 4  62.115.122.138  171.364 ms ICMP
 5  62.115.122.159  88.362 ms ICMP
 6  62.115.114.86  154.188 ms ICMP
 7  62.115.185.125  142.487 ms ICMP
 8  *
 9  192.254.84.17  201.242 ms ICMP
10  128.14.158.34  154.573 ms ICMP
11  172.25.17.0  162.828 ms ICMP
12  172.25.64.12  148.476 ms ICMP
13  *
14  *
15  107.150.101.156  148.753 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 23.1.71.125
 1  77.243.183.129  0.391 ms ICMP
 2  *
 3  4.69.162.225  18.955 ms ICMP
 4  213.242.65.6  9.585 ms ICMP
 5  23.210.57.40  94.544 ms ICMP
 6  23.197.65.37  105.720 ms ICMP
 7  *
 8  23.1.71.125  23.217 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.18.3.159
 1  77.243.183.129  0.268 ms ICMP
 2  37.120.128.226  11.988 ms ICMP
 3  195.42.144.143  10.880 ms ICMP
 4  104.18.3.159  10.863 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 45.60.11.176
 1  77.243.183.129  0.325 ms ICMP
 2  *
 3  *
 4  4.14.98.218  86.696 ms ICMP
 5  45.60.11.176  86.566 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 195.50.177.61
 1  77.243.183.129  0.290 ms ICMP
 2  37.120.128.253  0.248 ms ICMP
 3  212.103.51.141  2.749 ms ICMP
 4  145.254.2.206  2.361 ms ICMP
 5  145.254.1.153  10.050 ms ICMP
 6  145.254.2.139  10.290 ms ICMP
 7  92.79.202.109  9.542 ms ICMP
 8  188.111.149.114  16.795 ms ICMP
 9  195.50.167.228  20.830 ms ICMP
10  *
11  *
12  195.50.177.61  16.292 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 185.95.164.88
 1  77.243.183.129  0.337 ms ICMP
 2  37.120.128.253  0.291 ms ICMP
 3  193.239.118.38  1.923 ms ICMP
 4  134.222.48.67  35.757 ms ICMP
 5  134.222.105.171  37.994 ms ICMP
 6  10.36.0.166  38.101 ms ICMP
 7  91.93.194.138  39.543 ms ICMP
 8  185.95.164.88  37.785 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 94.130.219.154
 1  77.243.183.129  0.271 ms ICMP
 2  37.120.128.253  0.289 ms ICMP
 3  213.133.113.5  1.255 ms ICMP
 4  213.239.203.154  10.118 ms ICMP
 5  213.239.229.130  4.973 ms ICMP
 6  94.130.219.154  4.866 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 89.108.109.102
 1  77.243.183.129  0.319 ms ICMP
 2  77.243.185.234  7.544 ms ICMP
 3  208.173.212.193  13.557 ms ICMP
 4  195.2.28.30  14.681 ms ICMP
 5  195.2.20.226  14.885 ms ICMP
 6  217.161.68.34  13.234 ms ICMP
 7  213.59.211.237  50.078 ms ICMP
 8  87.226.168.142  90.118 ms ICMP
 9  188.42.148.110  53.965 ms ICMP
10  *
11  172.16.71.12  53.636 ms ICMP
12  89.108.109.102  52.925 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 64.140.170.168
 1  77.243.183.129  0.709 ms ICMP
 2  37.120.128.253  0.297 ms ICMP
 3  80.81.192.172  0.846 ms ICMP
 4  72.52.92.13  20.134 ms ICMP
 5  184.105.213.173  96.703 ms ICMP
 6  72.52.92.54  114.003 ms ICMP
 7  184.105.64.49  118.841 ms ICMP
 8  72.52.92.42  129.458 ms ICMP
 9  64.62.243.74  130.163 ms ICMP
10  104.237.48.158  138.922 ms ICMP
11  64.140.170.168  136.391 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 210.140.92.141
 1  77.243.183.129  0.338 ms ICMP
 2  213.248.84.210  0.394 ms ICMP
 3  62.115.142.4  169.546 ms ICMP
 4  62.115.114.203  15.648 ms ICMP
 5  62.115.116.8  169.418 ms ICMP
 6  202.232.1.65  177.507 ms ICMP
 7  58.138.98.106  176.538 ms ICMP
 8  58.138.81.173  248.130 ms ICMP
 9  58.138.98.70  236.080 ms ICMP
10  210.138.130.230  234.190 ms ICMP
11  202.93.95.182  234.429 ms ICMP
12  118.151.224.194  238.329 ms ICMP
13  158.205.134.62  237.073 ms ICMP
14  158.205.95.58  237.460 ms ICMP
15  *
16  210.140.92.141  236.888 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.125.30.56
 1  77.243.183.129  0.353 ms ICMP
 2  213.248.84.210  0.416 ms ICMP
 3  62.115.142.46  1.000 ms ICMP
 4  62.115.120.207  0.649 ms ICMP
 5  62.115.169.187  0.983 ms ICMP
 6  23.210.54.40  90.788 ms ICMP
 7  95.100.192.193  93.163 ms ICMP
 8  23.210.52.37  88.942 ms ICMP
 9  *
10  104.125.30.56  0.530 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 5.8.34.183
 1  77.243.183.129  0.511 ms ICMP
 2  37.120.128.253  0.466 ms ICMP
 3  87.245.236.148  0.927 ms ICMP
 4  87.245.233.27  7.092 ms ICMP
 5  87.245.227.26  6.668 ms ICMP
 6  *
 7  5.8.34.183  14.525 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.18.14.41
 1  77.243.183.129  0.275 ms ICMP
 2  37.120.128.226  9.520 ms ICMP
 3  195.42.144.143  12.366 ms ICMP
 4  104.18.14.41  11.698 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 204.74.99.100
 1  77.243.183.129  0.244 ms ICMP
 2  37.120.128.253  0.289 ms ICMP
 3  80.81.193.221  0.673 ms ICMP
 4  178.79.240.147  0.412 ms ICMP
 5  204.74.99.100  0.393 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 107.154.251.68
 1  77.243.183.129  0.293 ms ICMP
 2  37.120.128.253  0.371 ms ICMP
 3  80.81.193.87  1.084 ms ICMP
 4  107.154.251.68  0.867 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 161.170.244.214
 1  77.243.183.129  0.518 ms ICMP
 2  213.198.52.61  0.257 ms ICMP
 3  129.250.2.24  0.691 ms ICMP
 4  *
 5  129.250.2.121  86.114 ms ICMP
 6  129.250.8.210  85.677 ms ICMP
 7  140.222.233.115  105.643 ms ICMP
 8  157.130.173.58  328.603 ms ICMP
 9  161.170.244.214  118.898 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 52.76.61.123
 1  77.243.183.129  0.358 ms ICMP
 2  213.248.84.210  0.526 ms ICMP
 3  62.115.142.4  1.138 ms ICMP
 4  62.115.114.91  0.970 ms ICMP
 5  130.117.14.197  1.131 ms ICMP
 6  130.117.1.118  1.256 ms ICMP
 7  154.54.58.238  10.457 ms ICMP
 8  130.117.50.166  21.252 ms ICMP
 9  154.54.85.18  155.597 ms ICMP
